time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,shortwave_radiation
2025-01-01T00:00,10.8,99,0.0,754.6,2.7,0.0
2025-01-01T01:00,10.6,100,0.0,754.4,3.7,0.0
2025-01-01T02:00,9.8,99,0.0,753.4,3.5,0.0
2025-01-01T03:00,9.2,99,0.0,753.0,4.2,0.0
2025-01-01T04:00,8.7,98,0.0,752.6,2.6,0.0
2025-01-01T05:00,8.3,97,0.0,752.6,2.7,0.0
2025-01-01T06:00,7.6,97,0.0,752.5,1.5,0.0
2025-01-01T07:00,8.8,94,0.0,754.1,2.2,64.0
2025-01-01T08:00,11.5,89,0.0,756.7,0.7,274.0
2025-01-01T09:00,14.4,71,0.0,758.0,1.5,536.0
2025-01-01T10:00,16.8,59,0.0,759.1,0.9,723.0
2025-01-01T11:00,18.7,49,0.0,759.2,1.3,889.0
2025-01-01T12:00,20.3,42,0.0,759.0,3.6,961.0
2025-01-01T13:00,21.4,40,0.0,757.9,4.4,876.0
2025-01-01T14:00,22.3,38,0.0,756.9,2.0,814.0
2025-01-01T15:00,21.5,39,0.1,755.6,7.1,668.0
2025-01-01T16:00,18.2,61,0.8,755.0,17.4,444.0
2025-01-01T17:00,14.5,86,4.7,754.5,11.4,204.0
2025-01-01T18:00,14.2,90,0.1,754.5,1.5,40.0
2025-01-01T19:00,13.3,97,0.2,755.1,2.7,0.0
2025-01-01T20:00,13.2,91,0.2,755.6,0.2,0.0
2025-01-01T21:00,12.6,94,0.0,755.8,1.7,0.0
2025-01-01T22:00,12.8,96,0.0,756.1,2.5,0.0
2025-01-01T23:00,12.6,96,0.0,756.3,4.7,0.0
2025-01-02T00:00,12.6,93,0.0,756.2,6.3,0.0
2025-01-02T01:00,11.5,97,0.0,755.0,5.3,0.0
2025-01-02T02:00,10.6,98,0.0,754.3,3.8,0.0
2025-01-02T03:00,10.2,97,0.0,753.6,2.6,0.0
2025-01-02T04:00,9.1,98,0.0,752.9,2.1,0.0
2025-01-02T05:00,9.0,97,0.0,753.1,2.6,0.0
2025-01-02T06:00,9.0,95,0.0,753.6,1.1,0.0
2025-01-02T07:00,10.5,91,0.0,755.1,2.1,58.0
2025-01-02T08:00,12.7,83,0.0,757.2,3.2,235.0
2025-01-02T09:00,14.9,73,0.0,758.4,1.4,490.0
2025-01-02T10:00,17.6,62,0.0,759.3,2.2,724.0
2025-01-02T11:00,19.6,52,0.0,759.4,4.4,816.0
2025-01-02T12:00,20.7,47,0.1,759.1,10.3,851.0
2025-01-02T13:00,21.4,47,0.1,758.3,9.0,776.0
2025-01-02T14:00,20.0,51,0.1,757.0,6.6,702.0
2025-01-02T15:00,18.5,58,0.1,755.7,10.2,507.0
2025-01-02T16:00,17.1,69,0.3,755.2,7.7,349.0
2025-01-02T17:00,16.8,66,0.1,755.1,4.8,254.0
2025-01-02T18:00,15.2,76,0.0,754.9,2.9,55.0
2025-01-02T19:00,13.9,89,0.4,755.4,1.8,0.0
2025-01-02T20:00,13.8,91,0.0,756.1,4.3,0.0
2025-01-02T21:00,13.1,93,0.0,756.5,0.6,0.0
2025-01-02T22:00,12.6,97,0.0,756.5,1.0,0.0
2025-01-02T23:00,11.8,100,0.0,756.0,3.5,0.0
2025-01-03T00:00,11.3,100,0.0,755.4,3.5,0.0
2025-01-03T01:00,11.0,100,0.0,754.9,3.6,0.0
2025-01-03T02:00,10.4,100,0.0,753.9,3.0,0.0
2025-01-03T03:00,10.1,100,0.0,753.5,3.5,0.0
2025-01-03T04:00,9.4,100,0.0,753.1,1.8,0.0
2025-01-03T05:00,9.0,100,0.0,753.1,0.7,0.0
2025-01-03T06:00,8.6,100,0.0,753.0,1.0,0.0
2025-01-03T07:00,9.6,99,0.0,754.5,2.4,58.0
2025-01-03T08:00,13.2,87,0.0,757.6,2.2,215.0
2025-01-03T09:00,15.5,76,0.0,758.9,1.7,431.0
2025-01-03T10:00,17.5,68,0.1,759.5,1.7,546.0
2025-01-03T11:00,18.3,61,0.4,759.2,3.3,390.0
2025-01-03T12:00,17.5,67,6.8,758.8,7.7,691.0
2025-01-03T13:00,16.8,70,3.9,757.5,6.1,450.0
2025-01-03T14:00,18.4,62,0.1,757.0,4.1,602.0
2025-01-03T15:00,17.9,63,2.8,756.0,4.5,482.0
2025-01-03T16:00,17.0,67,0.4,755.7,9.1,359.0
2025-01-03T17:00,14.3,83,2.5,755.6,8.7,183.0
2025-01-03T18:00,13.5,91,1.1,755.4,3.3,20.0
2025-01-03T19:00,13.0,97,0.3,755.9,0.0,0.0
2025-01-03T20:00,13.2,87,0.0,755.9,2.4,0.0
2025-01-03T21:00,13.0,90,0.0,756.5,2.4,0.0
2025-01-03T22:00,11.7,95,0.0,756.3,1.8,0.0
2025-01-03T23:00,11.2,95,0.0,755.9,2.3,0.0
2025-01-04T00:00,10.7,95,0.0,755.3,2.4,0.0
2025-01-04T01:00,10.0,95,0.0,754.7,3.4,0.0
2025-01-04T02:00,9.4,96,0.0,753.6,2.3,0.0
2025-01-04T03:00,9.2,96,0.0,753.2,1.8,0.0
2025-01-04T04:00,8.6,96,0.0,752.8,2.5,0.0
2025-01-04T05:00,8.0,97,0.0,752.6,2.9,0.0
2025-01-04T06:00,7.9,95,0.0,753.0,1.0,0.0
2025-01-04T07:00,9.5,92,0.0,754.7,1.4,49.0
2025-01-04T08:00,12.9,85,0.0,757.4,0.2,226.0
2025-01-04T09:00,15.0,74,0.0,758.8,0.3,495.0
2025-01-04T10:00,16.3,70,0.1,759.1,1.7,617.0
2025-01-04T11:00,18.3,62,0.0,759.1,4.5,803.0
2025-01-04T12:00,19.5,57,0.0,758.3,2.7,778.0
2025-01-04T13:00,19.5,57,0.1,757.5,5.7,719.0
2025-01-04T14:00,19.1,57,0.6,756.5,9.5,715.0
2025-01-04T15:00,17.1,67,0.2,754.9,11.0,436.0
2025-01-04T16:00,16.2,75,0.9,755.1,8.0,368.0
2025-01-04T17:00,14.6,82,5.7,755.2,5.2,103.0
2025-01-04T18:00,14.2,85,0.1,755.3,3.1,30.0
2025-01-04T19:00,12.8,93,0.1,755.0,4.4,0.0
2025-01-04T20:00,12.7,95,0.0,755.7,0.9,0.0
2025-01-04T21:00,12.4,96,0.0,756.3,3.3,0.0
2025-01-04T22:00,11.7,96,0.0,755.8,3.2,0.0
2025-01-04T23:00,11.6,96,0.0,756.0,4.0,0.0
2025-01-05T00:00,10.6,98,0.0,755.0,2.9,0.0
2025-01-05T01:00,10.1,98,0.0,754.5,2.2,0.0
2025-01-05T02:00,10.0,99,0.0,753.9,2.7,0.0
2025-01-05T03:00,9.5,98,0.0,753.1,1.4,0.0
2025-01-05T04:00,9.2,97,0.0,753.1,2.2,0.0
2025-01-05T05:00,9.2,96,0.0,753.5,2.3,0.0
2025-01-05T06:00,9.3,95,0.0,754.1,1.5,0.0
2025-01-05T07:00,10.3,93,0.0,755.3,2.4,27.0
2025-01-05T08:00,12.2,95,0.1,757.3,1.5,155.0
2025-01-05T09:00,14.1,83,0.1,758.6,1.9,350.0
2025-01-05T10:00,15.2,79,0.1,759.3,1.5,429.0
2025-01-05T11:00,16.2,74,0.1,759.2,2.4,463.0
2025-01-05T12:00,17.9,67,0.1,758.9,1.8,606.0
2025-01-05T13:00,18.3,60,0.5,758.1,4.2,558.0
2025-01-05T14:00,16.3,70,2.3,756.8,10.0,396.0
2025-01-05T15:00,16.3,69,0.0,755.7,3.6,333.0
2025-01-05T16:00,16.9,66,0.0,755.3,1.3,320.0
2025-01-05T17:00,16.5,68,0.1,755.3,4.1,166.0
2025-01-05T18:00,15.1,78,0.0,755.0,5.2,36.0
2025-01-05T19:00,14.3,82,0.0,755.6,4.2,0.0
2025-01-05T20:00,12.5,93,0.0,756.0,4.1,0.0
2025-01-05T21:00,12.0,95,0.0,756.3,3.0,0.0
2025-01-05T22:00,11.4,97,0.0,756.1,2.0,0.0
2025-01-05T23:00,10.9,98,0.0,755.8,1.7,0.0
2025-01-06T00:00,10.7,97,0.1,755.6,2.3,0.0
2025-01-06T01:00,10.5,95,0.4,755.0,1.0,0.0
2025-01-06T02:00,10.7,96,0.5,754.9,1.9,0.0
2025-01-06T03:00,10.2,95,0.1,754.2,1.7,0.0
2025-01-06T04:00,10.5,97,0.1,754.3,1.3,0.0
2025-01-06T05:00,10.1,97,0.0,754.5,2.2,0.0
2025-01-06T06:00,9.9,96,0.0,754.9,0.9,0.0
2025-01-06T07:00,10.6,95,0.0,756.0,1.9,46.0
2025-01-06T08:00,12.8,83,0.0,758.0,1.5,234.0
2025-01-06T09:00,14.8,75,0.0,759.2,1.9,445.0
2025-01-06T10:00,16.6,66,0.0,759.8,4.4,518.0
2025-01-06T11:00,18.1,59,0.0,759.4,7.1,619.0
2025-01-06T12:00,19.4,56,0.0,759.0,7.0,735.0
2025-01-06T13:00,20.0,56,0.0,758.2,7.1,717.0
2025-01-06T14:00,19.1,61,5.3,757.1,8.6,714.0
2025-01-06T15:00,17.6,65,6.6,755.6,4.5,430.0
2025-01-06T16:00,18.0,63,0.0,755.7,5.4,372.0
2025-01-06T17:00,17.6,63,0.3,755.8,4.3,244.0
2025-01-06T18:00,15.4,79,0.2,754.9,5.5,60.0
2025-01-06T19:00,14.3,84,0.0,755.2,6.9,0.0
2025-01-06T20:00,13.1,91,0.0,756.2,3.3,0.0
2025-01-06T21:00,12.5,93,0.0,756.5,5.8,0.0
2025-01-06T22:00,11.7,95,0.0,756.0,5.6,0.0
2025-01-06T23:00,10.7,98,0.0,755.2,3.1,0.0
2025-01-07T00:00,10.1,99,0.0,754.6,3.1,0.0
2025-01-07T01:00,9.7,99,0.0,754.2,2.4,0.0
2025-01-07T02:00,9.1,98,0.0,753.0,3.1,0.0
2025-01-07T03:00,8.7,98,0.0,752.1,1.9,0.0
2025-01-07T04:00,7.8,99,0.0,751.5,2.7,0.0
2025-01-07T05:00,7.2,99,0.0,751.7,3.4,0.0
2025-01-07T06:00,6.8,99,0.0,752.0,1.1,0.0
2025-01-07T07:00,8.7,94,0.0,754.2,3.1,59.0
2025-01-07T08:00,12.9,78,0.0,757.6,1.6,286.0
2025-01-07T09:00,15.1,72,0.0,758.9,1.2,523.0
2025-01-07T10:00,17.4,63,0.0,759.8,1.2,699.0
2025-01-07T11:00,18.8,57,0.0,759.6,1.9,700.0
2025-01-07T12:00,20.0,53,0.0,759.2,1.8,757.0
2025-01-07T13:00,20.8,51,0.1,758.4,2.7,749.0
2025-01-07T14:00,21.6,49,0.1,757.5,3.4,764.0
2025-01-07T15:00,21.3,50,0.0,756.5,4.3,620.0
2025-01-07T16:00,19.9,56,0.1,755.9,8.3,474.0
2025-01-07T17:00,17.8,65,0.7,755.7,13.0,260.0
2025-01-07T18:00,15.2,86,0.2,755.4,11.3,55.0
2025-01-07T19:00,14.4,91,0.0,755.9,5.2,0.0
2025-01-07T20:00,14.4,87,0.0,756.6,4.3,0.0
2025-01-07T21:00,13.6,91,0.0,756.7,2.2,0.0
2025-01-07T22:00,13.4,93,0.1,757.4,1.0,0.0
2025-01-07T23:00,13.1,95,0.0,757.2,2.3,0.0
2025-01-08T00:00,13.0,95,0.0,756.8,1.5,0.0
2025-01-08T01:00,11.6,98,0.1,755.4,2.5,0.0
2025-01-08T02:00,11.8,99,0.5,755.3,2.9,0.0
2025-01-08T03:00,12.0,99,0.1,754.9,1.9,0.0
2025-01-08T04:00,11.4,100,0.0,754.6,0.7,0.0
2025-01-08T05:00,10.5,100,0.0,754.4,1.5,0.0
2025-01-08T06:00,10.1,100,0.0,754.8,0.9,0.0
2025-01-08T07:00,10.5,99,0.0,755.6,2.4,44.0
2025-01-08T08:00,13.7,87,0.0,757.7,3.3,236.0
2025-01-08T09:00,15.6,79,0.0,758.7,4.3,404.0
2025-01-08T10:00,17.4,68,0.1,759.3,6.0,551.0
2025-01-08T11:00,19.2,59,0.1,759.4,5.4,856.0
2025-01-08T12:00,20.2,55,0.0,758.9,5.7,896.0
2025-01-08T13:00,20.2,55,0.0,758.0,6.4,827.0
2025-01-08T14:00,19.7,55,0.1,756.7,7.8,689.0
2025-01-08T15:00,19.0,57,0.1,755.8,9.4,578.0
2025-01-08T16:00,18.2,62,0.1,755.3,11.1,468.0
2025-01-08T17:00,16.7,71,0.2,754.9,10.7,256.0
2025-01-08T18:00,15.1,82,0.3,754.8,6.2,61.0
2025-01-08T19:00,13.6,92,0.8,754.8,3.9,0.0
2025-01-08T20:00,14.3,88,0.3,755.7,1.4,0.0
2025-01-08T21:00,13.6,94,0.6,756.3,2.0,0.0
2025-01-08T22:00,13.4,96,0.5,756.4,1.4,0.0
2025-01-08T23:00,13.0,97,0.3,756.1,1.5,0.0
2025-01-09T00:00,12.6,97,0.1,755.6,0.7,0.0
2025-01-09T01:00,12.5,98,0.1,755.2,1.3,0.0
2025-01-09T02:00,12.3,98,0.6,754.5,1.8,0.0
2025-01-09T03:00,12.4,97,0.8,754.4,0.5,0.0
2025-01-09T04:00,11.9,99,0.3,754.1,1.1,0.0
2025-01-09T05:00,11.6,99,0.3,754.2,0.5,0.0
2025-01-09T06:00,11.3,100,0.1,754.2,1.5,0.0
2025-01-09T07:00,12.1,99,0.0,755.3,2.3,47.0
2025-01-09T08:00,13.1,90,0.0,757.0,3.5,206.0
2025-01-09T09:00,15.4,81,0.1,758.0,2.4,408.0
2025-01-09T10:00,17.3,70,0.1,758.7,2.2,546.0
2025-01-09T11:00,19.2,61,0.0,758.7,3.1,725.0
2025-01-09T12:00,20.6,55,0.1,758.4,1.4,887.0
2025-01-09T13:00,20.5,55,0.2,757.6,6.2,820.0
2025-01-09T14:00,18.8,61,0.2,756.2,7.5,554.0
2025-01-09T15:00,17.9,66,0.3,755.2,9.7,562.0
2025-01-09T16:00,17.1,71,0.3,754.7,8.5,371.0
2025-01-09T17:00,16.5,73,0.4,754.5,6.2,235.0
2025-01-09T18:00,14.8,85,0.2,754.1,4.9,65.0
2025-01-09T19:00,13.9,92,0.0,754.5,5.6,0.0
2025-01-09T20:00,14.0,91,0.0,755.4,5.5,0.0
2025-01-09T21:00,13.8,93,0.0,756.1,4.4,0.0
2025-01-09T22:00,13.0,97,0.0,755.8,2.6,0.0
2025-01-09T23:00,12.1,99,0.1,755.3,1.5,0.0
2025-01-10T00:00,11.9,99,0.0,755.0,0.6,0.0
2025-01-10T01:00,11.6,99,0.1,754.5,0.6,0.0
2025-01-10T02:00,12.0,99,0.1,754.5,2.4,0.0
2025-01-10T03:00,11.6,100,0.1,754.0,4.5,0.0
2025-01-10T04:00,11.6,98,0.0,754.1,4.3,0.0
2025-01-10T05:00,11.0,99,0.0,754.0,3.9,0.0
2025-01-10T06:00,10.5,100,0.0,754.1,3.9,0.0
2025-01-10T07:00,10.9,99,0.0,754.9,1.9,38.0
2025-01-10T08:00,12.2,98,0.0,756.3,2.7,128.0
2025-01-10T09:00,14.1,86,0.1,757.5,3.2,272.0
2025-01-10T10:00,16.3,74,0.1,758.3,3.0,455.0
2025-01-10T11:00,18.0,66,0.1,758.4,0.9,687.0
2025-01-10T12:00,19.7,56,0.1,758.5,7.7,798.0
2025-01-10T13:00,20.5,51,0.0,757.7,7.5,816.0
2025-01-10T14:00,21.2,47,0.0,757.1,6.0,792.0
2025-01-10T15:00,20.6,49,0.0,756.2,4.9,643.0
2025-01-10T16:00,18.9,56,0.0,755.5,7.5,485.0
2025-01-10T17:00,17.4,67,0.0,755.1,9.2,255.0
2025-01-10T18:00,15.9,79,0.0,754.7,7.4,70.0
2025-01-10T19:00,14.8,87,0.0,754.4,3.6,0.0
2025-01-10T20:00,14.0,92,0.0,755.0,1.7,0.0
2025-01-10T21:00,14.0,94,0.0,755.8,2.9,0.0
2025-01-10T22:00,13.7,96,0.0,756.5,6.6,0.0
2025-01-10T23:00,13.0,94,0.0,756.2,5.3,0.0
2025-01-11T00:00,12.2,96,0.0,755.7,2.8,0.0
2025-01-11T01:00,10.8,99,0.0,754.6,4.8,0.0
2025-01-11T02:00,10.0,99,0.0,753.7,4.7,0.0
2025-01-11T03:00,9.8,98,0.0,753.4,4.1,0.0
2025-01-11T04:00,9.4,97,0.0,753.3,3.3,0.0
2025-01-11T05:00,9.1,97,0.0,753.3,3.9,0.0
2025-01-11T06:00,8.2,98,0.0,753.2,4.4,0.0
2025-01-11T07:00,8.7,97,0.0,754.2,3.7,44.0
2025-01-11T08:00,11.7,90,0.0,756.5,1.0,223.0
2025-01-11T09:00,14.8,71,0.0,758.3,2.0,511.0
2025-01-11T10:00,17.3,62,0.0,759.1,2.1,767.0
2025-01-11T11:00,19.2,52,0.0,759.1,1.8,841.0
2025-01-11T12:00,21.1,46,0.0,759.0,3.9,934.0
2025-01-11T13:00,21.8,43,0.0,758.3,9.1,902.0
2025-01-11T14:00,21.5,45,0.0,757.5,12.0,837.0
2025-01-11T15:00,20.8,46,0.1,756.9,6.5,660.0
2025-01-11T16:00,19.8,50,0.1,756.5,5.9,492.0
2025-01-11T17:00,18.2,62,0.3,756.0,5.7,261.0
2025-01-11T18:00,16.1,79,0.2,755.3,3.7,63.0
2025-01-11T19:00,14.6,82,0.0,755.1,3.9,0.0
2025-01-11T20:00,13.9,86,0.0,755.9,6.1,0.0
2025-01-11T21:00,12.6,94,0.0,755.9,6.4,0.0
2025-01-11T22:00,11.8,98,0.0,756.0,4.7,0.0
2025-01-11T23:00,11.0,100,0.0,756.2,4.0,0.0
2025-01-12T00:00,10.5,100,0.0,755.9,1.8,0.0
2025-01-12T01:00,10.0,100,0.0,754.9,1.0,0.0
2025-01-12T02:00,9.3,98,0.0,754.0,4.2,0.0
2025-01-12T03:00,8.3,97,0.0,752.9,3.7,0.0
2025-01-12T04:00,7.7,99,0.0,752.5,2.3,0.0
2025-01-12T05:00,7.0,99,0.0,752.1,2.3,0.0
2025-01-12T06:00,6.3,99,0.0,752.0,2.0,0.0
2025-01-12T07:00,6.7,99,0.0,752.9,2.3,48.0
2025-01-12T08:00,10.7,89,0.0,756.4,0.4,281.0
2025-01-12T09:00,14.2,70,0.0,758.4,1.9,553.0
2025-01-12T10:00,16.7,61,0.0,759.3,1.4,772.0
2025-01-12T11:00,18.5,53,0.0,759.4,1.0,909.0
2025-01-12T12:00,20.1,46,0.0,759.0,3.3,1011.0
2025-01-12T13:00,21.4,41,0.0,758.8,7.4,993.0
2025-01-12T14:00,22.2,38,0.0,758.0,10.0,909.0
2025-01-12T15:00,22.0,38,0.0,757.1,10.8,728.0
2025-01-12T16:00,21.0,41,0.0,756.7,7.2,563.0
2025-01-12T17:00,18.8,55,0.0,756.0,8.2,319.0
2025-01-12T18:00,15.7,80,0.4,755.4,11.4,74.0
2025-01-12T19:00,13.6,90,0.1,755.2,5.1,0.0
2025-01-12T20:00,12.9,95,0.0,755.8,1.5,0.0
2025-01-12T21:00,11.6,100,0.0,755.7,1.3,0.0
2025-01-12T22:00,10.4,100,0.0,755.4,2.5,0.0
2025-01-12T23:00,9.6,100,0.0,755.2,1.2,0.0
2025-01-13T00:00,9.2,99,0.0,754.6,2.2,0.0
2025-01-13T01:00,8.5,98,0.0,753.7,1.9,0.0
2025-01-13T02:00,7.9,100,0.0,753.0,0.2,0.0
2025-01-13T03:00,7.1,100,0.0,752.2,0.4,0.0
2025-01-13T04:00,6.7,99,0.0,752.2,1.7,0.0
2025-01-13T05:00,6.4,99,0.0,752.3,1.2,0.0
2025-01-13T06:00,6.3,97,0.0,752.6,0.9,0.0
2025-01-13T07:00,7.9,96,0.0,754.5,1.5,52.0
2025-01-13T08:00,11.6,79,0.0,757.8,1.5,263.0
2025-01-13T09:00,14.5,62,0.0,759.5,3.2,504.0
2025-01-13T10:00,17.0,54,0.0,760.2,2.3,759.0
2025-01-13T11:00,19.2,48,0.0,760.2,3.5,927.0
2025-01-13T12:00,20.6,44,0.0,759.9,3.6,949.0
2025-01-13T13:00,22.1,41,0.0,759.5,2.0,952.0
2025-01-13T14:00,22.1,41,0.0,758.5,9.5,843.0
2025-01-13T15:00,18.5,66,1.0,757.2,19.3,721.0
2025-01-13T16:00,16.9,64,0.2,756.7,15.4,500.0
2025-01-13T17:00,16.9,66,0.0,756.4,9.8,315.0
2025-01-13T18:00,15.0,81,0.0,755.8,3.7,80.0
2025-01-13T19:00,13.9,85,0.0,755.5,2.6,0.0
2025-01-13T20:00,13.1,88,0.0,755.8,4.5,0.0
2025-01-13T21:00,12.0,92,0.0,755.9,2.7,0.0
2025-01-13T22:00,11.2,93,0.0,755.9,1.5,0.0
2025-01-13T23:00,10.2,97,0.0,755.3,2.5,0.0
2025-01-14T00:00,9.2,100,0.0,754.6,2.2,0.0
2025-01-14T01:00,8.6,99,0.0,753.8,2.8,0.0
2025-01-14T02:00,8.0,100,0.0,753.1,2.5,0.0
2025-01-14T03:00,7.6,99,0.0,752.9,2.7,0.0
2025-01-14T04:00,7.2,98,0.0,752.5,4.1,0.0
2025-01-14T05:00,7.3,100,0.0,752.9,2.2,0.0
2025-01-14T06:00,7.3,100,0.0,753.5,3.4,0.0
2025-01-14T07:00,8.3,99,0.0,754.9,3.1,42.0
2025-01-14T08:00,11.0,91,0.0,757.5,3.8,238.0
2025-01-14T09:00,14.5,77,0.0,759.2,4.0,540.0
2025-01-14T10:00,17.1,63,0.0,760.0,3.1,777.0
2025-01-14T11:00,19.2,46,0.0,760.2,1.8,932.0
2025-01-14T12:00,20.4,40,0.0,759.9,2.7,928.0
2025-01-14T13:00,21.5,37,0.0,759.2,6.5,933.0
2025-01-14T14:00,21.1,41,0.0,758.0,14.8,834.0
2025-01-14T15:00,18.0,60,0.1,756.9,20.4,682.0
2025-01-14T16:00,17.8,60,0.0,756.9,12.1,532.0
2025-01-14T17:00,16.9,66,0.0,756.4,10.6,301.0
2025-01-14T18:00,15.0,76,0.0,755.7,5.7,85.0
2025-01-14T19:00,14.0,81,0.0,755.9,5.4,0.0
2025-01-14T20:00,12.9,92,0.0,756.0,2.0,0.0
2025-01-14T21:00,12.2,94,0.0,756.2,2.6,0.0
2025-01-14T22:00,12.0,95,0.0,756.6,1.5,0.0
2025-01-14T23:00,11.3,97,0.0,755.9,1.0,0.0
2025-01-15T00:00,10.8,98,0.0,755.7,1.1,0.0
2025-01-15T01:00,10.4,99,0.0,755.2,0.7,0.0
2025-01-15T02:00,10.0,99,0.0,754.5,1.5,0.0
2025-01-15T03:00,9.8,100,0.0,754.1,2.4,0.0
2025-01-15T04:00,9.7,98,0.0,754.2,3.2,0.0
2025-01-15T05:00,9.3,100,0.0,754.4,3.7,0.0
2025-01-15T06:00,9.4,100,0.0,754.8,2.3,0.0
2025-01-15T07:00,9.7,99,0.0,755.8,2.3,36.0
2025-01-15T08:00,11.3,90,0.0,757.4,3.6,192.0
2025-01-15T09:00,13.9,75,0.0,758.9,3.2,477.0
2025-01-15T10:00,16.4,63,0.0,759.7,2.1,758.0
2025-01-15T11:00,18.6,51,0.0,760.0,1.9,921.0
2025-01-15T12:00,19.8,44,0.0,759.6,2.3,836.0
2025-01-15T13:00,21.2,40,0.0,759.1,3.7,935.0
2025-01-15T14:00,21.3,39,0.0,758.2,11.9,844.0
2025-01-15T15:00,19.0,57,0.1,757.0,19.1,667.0
2025-01-15T16:00,17.1,63,0.0,756.6,14.8,500.0
2025-01-15T17:00,16.8,66,0.0,756.5,8.3,260.0
2025-01-15T18:00,15.3,77,0.0,755.9,4.9,81.0
2025-01-15T19:00,14.2,83,0.0,756.1,4.3,0.0
2025-01-15T20:00,13.6,88,0.0,757.0,3.8,0.0
2025-01-15T21:00,13.2,90,0.0,757.3,2.1,0.0
2025-01-15T22:00,12.8,92,0.1,757.7,1.9,0.0
2025-01-15T23:00,12.6,93,0.1,757.4,1.7,0.0
2025-01-16T00:00,12.0,96,0.0,756.8,1.7,0.0
2025-01-16T01:00,11.4,98,0.0,756.0,0.9,0.0
2025-01-16T02:00,11.1,100,0.0,755.6,0.5,0.0
2025-01-16T03:00,11.0,99,0.0,755.3,2.5,0.0
2025-01-16T04:00,10.3,100,0.0,755.0,3.1,0.0
2025-01-16T05:00,10.0,100,0.0,755.2,2.4,0.0
2025-01-16T06:00,9.9,99,0.0,755.6,2.7,0.0
2025-01-16T07:00,9.9,99,0.0,756.3,1.8,30.0
2025-01-16T08:00,12.0,90,0.0,757.8,4.6,177.0
2025-01-16T09:00,14.5,75,0.0,759.1,1.7,462.0
2025-01-16T10:00,16.9,61,0.0,759.9,2.0,754.0
2025-01-16T11:00,18.9,48,0.0,760.2,2.4,905.0
2025-01-16T12:00,20.3,39,0.0,759.8,1.3,876.0
2025-01-16T13:00,21.7,34,0.0,759.3,3.3,910.0
2025-01-16T14:00,21.3,40,0.0,758.3,12.9,844.0
2025-01-16T15:00,18.6,59,0.5,757.0,17.2,656.0
2025-01-16T16:00,17.5,65,0.0,756.6,13.5,417.0
2025-01-16T17:00,16.4,71,0.0,756.5,8.8,231.0
2025-01-16T18:00,15.6,78,0.0,756.2,2.2,70.0
2025-01-16T19:00,14.6,82,0.0,756.2,3.6,0.0
2025-01-16T20:00,13.3,88,0.0,756.4,2.1,0.0
2025-01-16T21:00,12.8,92,0.0,756.9,2.7,0.0
2025-01-16T22:00,12.5,94,0.1,757.1,1.9,0.0
2025-01-16T23:00,12.3,95,0.1,757.0,2.2,0.0
2025-01-17T00:00,12.2,95,0.0,756.7,2.4,0.0
2025-01-17T01:00,11.7,97,0.0,756.1,1.6,0.0
2025-01-17T02:00,11.4,98,0.0,755.4,0.6,0.0
2025-01-17T03:00,11.1,100,0.0,755.1,2.6,0.0
2025-01-17T04:00,10.8,99,0.0,755.1,3.3,0.0
2025-01-17T05:00,10.3,100,0.0,755.2,4.2,0.0
2025-01-17T06:00,9.5,100,0.0,755.4,3.5,0.0
2025-01-17T07:00,9.9,97,0.0,756.6,3.3,33.0
2025-01-17T08:00,12.2,88,0.0,758.6,4.5,213.0
2025-01-17T09:00,14.8,75,0.0,759.8,2.5,510.0
2025-01-17T10:00,17.1,61,0.0,760.5,2.7,756.0
2025-01-17T11:00,18.7,51,0.0,760.6,2.6,769.0
2025-01-17T12:00,20.1,43,0.0,760.2,2.8,918.0
2025-01-17T13:00,21.1,40,0.0,759.5,1.3,906.0
2025-01-17T14:00,21.1,39,0.0,758.5,8.4,774.0
2025-01-17T15:00,18.8,55,0.3,757.3,14.7,671.0
2025-01-17T16:00,17.1,66,0.3,756.9,13.0,453.0
2025-01-17T17:00,15.9,71,0.1,756.6,10.4,238.0
2025-01-17T18:00,14.5,79,0.0,756.4,3.1,67.0
2025-01-17T19:00,14.1,82,0.0,756.7,2.5,0.0
2025-01-17T20:00,13.3,90,0.0,756.8,3.2,0.0
2025-01-17T21:00,12.7,94,0.0,757.0,0.6,0.0
2025-01-17T22:00,12.4,95,0.0,757.3,2.7,0.0
2025-01-17T23:00,11.8,96,0.0,756.8,3.8,0.0
2025-01-18T00:00,10.9,99,0.0,756.3,3.4,0.0
2025-01-18T01:00,9.9,100,0.0,755.2,3.8,0.0
2025-01-18T02:00,9.7,99,0.0,755.3,4.2,0.0
2025-01-18T03:00,9.0,100,0.0,754.5,4.7,0.0
2025-01-18T04:00,8.6,99,0.0,754.6,4.0,0.0
2025-01-18T05:00,8.7,98,0.0,755.2,3.6,0.0
2025-01-18T06:00,8.6,98,0.0,755.6,4.4,0.0
2025-01-18T07:00,8.9,96,0.0,756.5,4.2,34.0
2025-01-18T08:00,11.2,80,0.0,758.5,1.6,159.0
2025-01-18T09:00,13.5,70,0.0,759.7,1.0,463.0
2025-01-18T10:00,16.1,57,0.0,760.5,1.9,749.0
2025-01-18T11:00,18.3,47,0.0,760.8,2.9,934.0
2025-01-18T12:00,19.7,39,0.0,760.7,5.6,1040.0
2025-01-18T13:00,20.4,37,0.0,760.0,6.2,1003.0
